variant	country	date	freq	median_freq_nowcast	median_freq_forecast	model
16	tropics	2051-10-16	0.25	0.25		NAIVE
16	tropics	2051-10-17	0.25	0.25		NAIVE
16	tropics	2051-10-18	0.25	0.25		NAIVE
16	tropics	2051-10-19	0.25	0.25		NAIVE
16	tropics	2051-10-20	0.25	0.25		NAIVE
16	tropics	2051-10-21	0.25	0.25		NAIVE
16	tropics	2051-10-22	0.25	0.25		NAIVE
16	tropics	2051-10-23	0.25	0.25		NAIVE
16	tropics	2051-10-24	0.25	0.25		NAIVE
16	tropics	2051-10-25	0.25	0.25		NAIVE
16	tropics	2051-10-26	0.25	0.25		NAIVE
16	tropics	2051-10-27	0.25	0.25		NAIVE
16	tropics	2051-10-28	0.25	0.25		NAIVE
16	tropics	2051-10-29	0.25	0.25		NAIVE
16	tropics	2051-10-30	0.25	0.25		NAIVE
16	tropics	2051-10-31	0.25	0.25		NAIVE
16	tropics	2051-11-01	0.25	0.25		NAIVE
16	tropics	2051-11-02	0.25	0.25		NAIVE
16	tropics	2051-11-03	0.25	0.25		NAIVE
16	tropics	2051-11-04	0.25	0.25		NAIVE
16	tropics	2051-11-05	0.25	0.25		NAIVE
16	tropics	2051-11-06	0.25	0.25		NAIVE
16	tropics	2051-11-07	0.25	0.25		NAIVE
16	tropics	2051-11-08	0.25	0.25		NAIVE
16	tropics	2051-11-09	0.25	0.25		NAIVE
16	tropics	2051-11-10	0.25	0.25		NAIVE
16	tropics	2051-11-11	0.25	0.25		NAIVE
16	tropics	2051-11-12	0.25	0.25		NAIVE
16	tropics	2051-11-13	0.25	0.25		NAIVE
16	tropics	2051-11-14	0.25	0.25		NAIVE
16	tropics	2051-11-15	0.25	0.25		NAIVE
16	tropics	2051-11-16	0.25	0.25		NAIVE
16	tropics	2051-11-17	0.25	0.25		NAIVE
16	tropics	2051-11-18	0.25	0.25		NAIVE
16	tropics	2051-11-19	0.25	0.25		NAIVE
16	tropics	2051-11-20	0.25	0.25		NAIVE
16	tropics	2051-11-21	0.25	0.25		NAIVE
16	tropics	2051-11-22	0.25	0.25		NAIVE
16	tropics	2051-11-23	0.25	0.25		NAIVE
16	tropics	2051-11-24	0.25	0.25		NAIVE
16	tropics	2051-11-25	0.25	0.25		NAIVE
16	tropics	2051-11-26	0.25	0.25		NAIVE
16	tropics	2051-11-27	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-11-28	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-11-29	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-11-30	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-01	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-02	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-03	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-04	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-05	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-06	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-07	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-08	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-09	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-10	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-11	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-12	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-13	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-14	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-15	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-16	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-17	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-18	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-19	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-20	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-21	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-22	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-23	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-24	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-25	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-26	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-27	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-28	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-29	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-30	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2051-12-31	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-01	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-02	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-03	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-04	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-05	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-06	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-07	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-08	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-09	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-10	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-11	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-12	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-13	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-14	0.29166666666666663	0.29166666666666663		NAIVE
16	tropics	2052-01-15	0.27777777777777773	0.27777777777777773		NAIVE
16	tropics	2052-01-16	0.27777777777777773	0.27777777777777773		NAIVE
16	tropics	2052-01-17	0.27777777777777773	0.27777777777777773		NAIVE
16	tropics	2052-01-18	0.27777777777777773	0.27777777777777773		NAIVE
16	tropics	2052-01-19	0.27777777777777773	0.27777777777777773		NAIVE
16	tropics	2052-01-20	0.27777777777777773	0.27777777777777773		NAIVE
16	tropics	2052-01-21	0.27777777777777773	0.27777777777777773		NAIVE
16	tropics	2052-01-22	0.27777777777777773	0.27777777777777773		NAIVE
16	tropics	2052-01-23	0.27777777777777773	0.27777777777777773		NAIVE
