date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2040-10-03	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-04	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-05	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-06	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-07	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-08	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-09	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-10	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-11	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-12	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-13	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-14	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-15	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-16	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-17	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-18	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-19	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-20	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-21	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-22	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-23	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-24	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-25	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-26	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-27	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-28	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-29	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-30	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-10-31	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-01	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-02	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-03	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-04	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-05	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-06	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-07	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-08	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-09	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-10	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-11	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-12	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-13	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-14	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-15	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-16	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-17	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-18	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-19	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-20	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-21	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-22	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-23	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-24	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-25	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-26	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-27	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-28	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-29	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-11-30	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-01	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-02	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-03	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-04	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-05	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-06	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-07	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-08	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-09	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-10	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-11	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-12	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-13	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
2040-12-14	north	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW	2041-10-01
