pivot_date,model,location,correlation,mae,rmse,sign_disagreement_rate,overestimation_rate,n_seqs,n_cases,seq_entropy,case_entropy,seq_entropy_norm,case_entropy_norm
2026-10-01,FGA,north,0.9914215533240703,0.0024052414944512462,0.002821425810410799,0.0,0.6666666666666666,338,2829,4.721553272452297,4.924020694746281,0.881289303096345,0.8637966434547262
2027-04-01,FGA,north,0.9878573654052626,0.004170913920116606,0.004871841681200038,0.025,0.625,2526,21606,4.143048441566245,4.132250788354801,0.730383952506336,0.7249003572837227
2027-10-01,FGA,north,0.9818707862657425,0.004774745860317991,0.0070837488161112905,0.0392156862745098,0.6078431372549019,3047,26073,4.395115267342031,4.389237234420332,0.7869551974206654,0.769982220924469
2028-04-01,FGA,north,0.7874182311424831,0.005496506798318682,0.005768184468463512,0.0,0.6,750,6318,3.5039005854332474,3.5477924526751776,0.6540114930126609,0.6223717165861214
2029-04-01,FGA,north,0.8576777957043528,0.01649120227757489,0.023401944552901833,0.1111111111111111,0.42592592592592593,4151,35932,4.193014356006146,4.223633922692317,0.7391925152334983,0.7373764974909037
2029-10-01,FGA,north,0.8795283253333717,0.01537413408328164,0.021637799346064853,0.10526315789473684,0.19298245614035087,4181,36200,4.19665674898996,4.228425547421387,0.7733969753970025,0.7382130357716079
2030-04-01,FGA,north,0.9780292819487657,0.005071798315091357,0.0061629661217797675,0.18181818181818182,0.36363636363636365,431,3792,4.5737384313100256,4.730361136986378,0.8536993065802386,0.8258426726610517
2030-10-01,FGA,north,0.9932386205256992,0.0017621263793928714,0.0021025762939296095,0.10526315789473684,0.3157894736842105,425,3620,4.8049033595179225,5.004237287887736,0.8968467978241198,0.8736569104937666
2031-04-01,FGA,north,0.581501423250821,0.022114182073799598,0.059604260255682516,0.058823529411764705,0.17647058823529413,1392,12341,3.547685905179629,3.656130822653067,0.6760165600785344,0.6382998597231527
2031-10-01,FGA,north,0.9967475764833198,0.004105302725940854,0.005063250532872343,0.0,0.07692307692307693,3195,27354,4.273349049757481,4.291494139251491,0.7736582089156117,0.7528356322397781
2032-04-01,FGA,north,0.9657764315882722,0.02297654107139307,0.03179179732386944,0.045454545454545456,0.36363636363636365,2511,21454,4.257924013665695,4.263578564877262,0.7544352425882154,0.7479385408302521
2032-10-01,FGA,north,0.9552783293104973,0.015929004827443142,0.018898717795165797,0.30434782608695654,0.4782608695652174,1611,13580,4.620119655829088,4.643641412446823,0.8186104501031769,0.8146110900302811
2033-04-01,FGA,north,0.9159284238176733,0.008819411051217127,0.010651641388120968,0.1111111111111111,0.6666666666666666,1438,11794,4.723922188173935,4.7823113366337635,0.8327870184946496,0.83893727029768
2033-10-01,FGA,north,0.9880775152014603,0.0042043654931639765,0.004860737708761514,0.029411764705882353,0.029411764705882353,780,6518,5.168073257820524,5.207562257819567,0.9066095798493643,0.9135369401849842
2034-04-01,FGA,north,0.45439691019139555,0.1621263014272093,0.16612164252054393,0.46153846153846156,1.0,3881,33798,4.601428810180095,4.5842271853777525,0.8072059415936805,0.8041883454690167
2034-10-01,FGA,north,0.9989108118464382,0.0015812884614875202,0.0018933174550534594,0.0,0.15555555555555556,3731,32457,4.3699616795231675,4.357401086667321,0.8267983208407285,0.7643973626806925
2036-04-01,FGA,north,0.613657379189955,0.09848341818595222,0.1304220665114477,0.0,0.42857142857142855,585,5283,3.776881696919893,3.8025255040637345,0.7774591338887507,0.6638579453446178
2036-10-01,FGA,north,0.9567826632076528,0.012782472577218717,0.014237053883904248,0.20512820512820512,0.8205128205128205,1545,13014,4.953728378775985,4.947747508969198,0.877720518065453,0.8637947311275126
2037-04-01,FGA,north,0.8812615249727048,0.008490907040364893,0.011088364966933675,0.2112676056338028,0.5211267605633803,2953,25391,5.155118836500581,5.163211645159107,0.9043370496656459,0.901411199075886
2037-10-01,FGA,north,0.9961156759936827,0.002692456083370817,0.0032641693478152544,0.0,0.1746031746031746,2301,19117,4.665541663352914,4.640643387325997,0.8827221600473071,0.8140851612828399
2038-04-01,FGA,north,0.8984633270525095,0.0025092797129490302,0.002751389746095772,0.0,0.25,314,3008,2.910838530855643,3.083450258542726,0.7866196324143597,0.5383193225189201
2041-04-01,FGA,north,0.8946755287504204,0.01092227646578079,0.014960634370122116,0.18181818181818182,0.5,1471,12051,3.67165119482783,3.6436567002516487,0.7482643281498509,0.6391887083124601
2041-10-01,FGA,north,0.9980539719438988,0.0015241602754489112,0.002226894733261363,0.0,0.1111111111111111,2235,19368,4.469651255702685,4.46982399132543,0.813869412983725,0.7841191578784092
2042-04-01,FGA,north,0.9666460499044016,0.007947868285379663,0.009180298718545928,0.0,0.1,843,7928,3.8699206726618853,3.8145577288345223,0.6967069527554796,0.6691690321178322
2043-04-01,FGA,north,0.999028392093978,0.0014627450228180039,0.001885604810808878,0.027777777777777776,0.3611111111111111,4158,34031,4.178234464978674,4.1474146586489535,0.7365869470441538,0.7275604801942229
2043-10-01,FGA,north,0.9988563172424111,0.001803104894889536,0.0022039092198143173,0.022727272727272728,0.38636363636363635,4291,35545,4.251824745248326,4.2463682104199085,0.7742058410283977,0.7413455274220859
2046-04-01,FGA,north,0.9595178026429845,0.011038068687356944,0.014604221707707069,0.07142857142857142,0.39285714285714285,6041,50079,4.112742842632816,4.119612746130015,0.7250413350003475,0.7226833279228881
2046-10-01,FGA,north,0.9960753526204135,0.003723356585321881,0.004585304232703807,0.045454545454545456,0.45454545454545453,5897,48828,3.9466873778501625,3.941407983650591,0.7966352422441582,0.6914217461343282
